Season,Team,Lg,Salary
2002-03,Miami Heat,NBA,"$1,678,800"
2003-04,Miami Heat,NBA,"$1,804,680"
2004-05,Los Angeles Lakers,NBA,"$1,930,680"
2005-06,Washington Wizards,NBA,"$2,461,617"
2006-07,Washington Wizards,NBA,"$7,438,000"
2007-08,Washington Wizards,NBA,"$8,218,990"
2008-09,Washington Wizards,NBA,"$9,249,980"
2009-10,Dallas Mavericks,NBA,"$9,780,970"
2010-11,Dallas Mavericks,NBA,"$10,561,960"
2011-12,Los Angeles Clippers,NBA,"$8,000,000"
2012-13,Los Angeles Clippers,NBA,"$8,000,000"
2013-14,Phoenix Suns,NBA,"$8,000,000"
2014-15,Milwaukee Bucks,NBA,"$4,500,000"
2015-16,Sacramento Kings,NBA,"$1,499,187"
2016-17,Sacramento Kings,NBA,"$517,220"
2017-18,Sacramento Kings,NBA,"$517,220"
2018-19,Sacramento Kings,NBA,"$517,219"
Career,(may be incomplete),,"$84,676,523"
