"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Skal Labissi̬re,,1.4,1.4,1.3,0.3,0.0,,,
Terry Driscoll,80.8,1.7,1.7,1.5,0.3,0.0,,,
Jerry Chambers,80.7,1.5,1.4,1.3,1.1,0.0,0.0,,
Chris Johnson,78.2,1.4,1.1,0.8,0.2,,,,
Thomas Robinson,77.7,1.6,1.5,0.9,0.6,-0.1,,,
Rafael Addison,77.5,1.5,1.5,0.9,0.4,0.4,0.2,,
Charles Pittman,77.3,1.7,1.5,0.9,0.1,,,,
Cliff Meely,77.1,1.8,1.2,1.0,0.4,0.2,,,
Dominic McGuire,76.3,1.7,1.5,0.9,0.3,0.0,-0.2,,
Tim Kempton,74.8,1.3,1.3,1.0,0.1,0.0,-0.1,-0.1,-0.2
Semi Ojeleye,74.4,1.9,1.2,1.2,0.7,0.2,,,
