Season,Team,Lg,Salary
2011-12,Minnesota Timberwolves,NBA,"$3,480,120"
2012-13,Minnesota Timberwolves,NBA,"$3,741,120"
2013-14,Minnesota Timberwolves,NBA,"$4,002,120"
2014-15,Minnesota Timberwolves,NBA,"$5,070,686"
2015-16,Minnesota Timberwolves,NBA,"$12,365,000"
2016-17,Minnesota Timberwolves,NBA,"$13,550,000"
2017-18,Utah Jazz,NBA,"$14,275,000"
2018-19,Utah Jazz,NBA,"$14,975,000"
2019-20,Phoenix Suns,NBA,"$16,200,000"
2020-21,Minnesota Timberwolves,NBA,"$17,000,000"
2021-22,Indiana Pacers,NBA,"$17,800,000"
2022-23,Cleveland Cavaliers,NBA,"$5,853,659"
2023-24,Cleveland Cavaliers,NBA,"$3,695,311"
2024-25,Cleveland Cavaliers,NBA,"$424,672"
Career,(may be incomplete),,"$132,432,688"
