"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2009-10,21,PHO,NBA,C,6.0,6.0,104.0,0.543,0.543,0.543,1.0,0.603,0.257,0.0,118.0,110.0,108.0,132.0,111.0,86.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,POR,NBA,C,11.0,11.0,367.0,0.489,0.489,0.489,0.667,0.53,0.409,0.0,108.0,100.0,98.0,88.0,98.0,144.0,0.0,
2014-15,26,POR,NBA,C,5.0,5.0,117.0,0.6,0.6,0.6,1.0,0.702,0.533,0.0,134.0,124.0,121.0,133.0,131.0,195.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2016-17,28,CHI,NBA,C,6.0,6.0,162.0,0.654,0.654,0.654,1.0,0.684,0.154,0.0,143.0,130.0,127.0,130.0,124.0,57.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2019-20,31,MIL,NBA,C,3.0,0.0,21.0,0.75,0.75,0.75,,0.75,0.0,0.0,163.0,143.0,142.0,,133.0,0.0,0.0,
2020-21,32,WAS,NBA,C,5.0,0.0,73.0,0.72,0.72,0.72,0.25,0.691,0.16,0.0,154.0,136.0,134.0,32.0,121.0,65.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2022-23,34,CLE,NBA,C,2.0,0.0,6.0,1.0,1.0,1.0,1.0,1.031,0.667,0.0,210.0,183.0,183.0,128.0,177.0,250.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,38.0,28.0,850.0,0.581,0.581,0.581,0.776,0.616,0.302,0.0,126.0,116.0,114.0,102.0,112.0,108.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,16.0,16.0,484.0,0.505,0.505,0.505,0.727,0.556,0.427,0.0,112.0,104.0,101.0,96.0,103.0,151.0,0.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,6.0,6.0,162.0,0.654,0.654,0.654,1.0,0.684,0.154,0.0,143.0,130.0,127.0,130.0,124.0,57.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,6.0,6.0,104.0,0.543,0.543,0.543,1.0,0.603,0.257,0.0,118.0,110.0,108.0,132.0,111.0,86.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,0.0,73.0,0.72,0.72,0.72,0.25,0.691,0.16,0.0,154.0,136.0,134.0,32.0,121.0,65.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,3.0,0.0,21.0,0.75,0.75,0.75,,0.75,0.0,0.0,163.0,143.0,142.0,,133.0,0.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,2.0,0.0,6.0,1.0,1.0,1.0,1.0,1.031,0.667,0.0,210.0,183.0,183.0,128.0,177.0,250.0,0.0,
