Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2025-26,23,MEM,NBA,SG,1,0,6,2,4,0.5,2,4,0.5,0,0,0.75,0,0,0,2,2,0,0,0,0,0,6,0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,6,2,4,0.5,2,4,0.5,0,0,0.75,0,0,0,2,2,0,0,0,0,0,6,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,492,164,328,0.5,164,328,0.5,0,0,0.75,0,0,0,164,164,0,0,0,0,0,492,0,
