"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Paolo Banchero,,5.3,3.5,2.4
Purvis Short,95.4,5.4,3.7,2.6
Orlando Woolridge,93.9,5.3,3.6,1.8
Larry Nance Jr.,93.3,5.8,3.5,2.2
Clyde Lee,92.4,5.1,3.1,2.1
Chuck Person,91.7,5.4,3.3,3.0
Michael Smith,91.7,5.4,3.7,3.1
Maxi Kleber,91.6,4.8,3.5,2.8
Walt Budko,91.1,5.6,4.0,2.7
Scottie Pippen,90.8,5.7,4.0,2.3
Hedo TÃ¼rkoÄlu,90.8,5.2,2.8,2.6
