Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2008-09,23,CHI,NBA,C,7.0,7.0,271.0,26.0,51.0,0.51,0.0,0.0,26.0,51.0,0.51,0.51,19.0,25.0,0.76,28.0,64.0,92.0,16.0,6.0,15.0,8.0,31.0,71.0,0.0,
2009-10,24,CHI,NBA,C,5.0,5.0,188.0,28.0,53.0,0.528,0.0,0.0,28.0,53.0,0.528,0.528,18.0,19.0,0.947,20.0,45.0,65.0,13.0,9.0,7.0,15.0,20.0,74.0,0.0,
2010-11,25,CHI,NBA,C,16.0,16.0,529.0,51.0,124.0,0.411,0.0,0.0,51.0,124.0,0.411,0.411,37.0,51.0,0.725,68.0,95.0,163.0,40.0,16.0,33.0,19.0,63.0,139.0,0.0,
2011-12,26,CHI,NBA,C,3.0,3.0,99.0,19.0,26.0,0.731,0.0,0.0,19.0,26.0,0.731,0.731,7.0,11.0,0.636,9.0,19.0,28.0,9.0,2.0,4.0,1.0,5.0,45.0,0.0,
2012-13,27,CHI,NBA,C,12.0,12.0,409.0,52.0,119.0,0.437,0.0,0.0,52.0,119.0,0.437,0.437,25.0,39.0,0.641,52.0,63.0,115.0,28.0,10.0,26.0,24.0,43.0,129.0,0.0,
2013-14,28,CHI,NBA,C,5.0,5.0,210.0,21.0,41.0,0.512,0.0,0.0,21.0,41.0,0.512,0.512,10.0,17.0,0.588,15.0,49.0,64.0,23.0,5.0,7.0,19.0,19.0,52.0,0.0,
2014-15,29,CHI,NBA,C,12.0,12.0,395.0,31.0,76.0,0.408,0.0,0.0,31.0,76.0,0.408,0.408,7.0,20.0,0.35,45.0,87.0,132.0,38.0,10.0,14.0,20.0,37.0,69.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,34,LAC,NBA,C,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,62.0,60.0,2103.0,228.0,490.0,0.465,0.0,0.0,228.0,490.0,0.465,0.465,123.0,182.0,0.676,237.0,422.0,659.0,167.0,58.0,106.0,106.0,218.0,579.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,79.0,2781.0,302.0,648.0,0.465,0.0,0.0,302.0,648.0,0.465,0.465,163.0,241.0,0.676,313.0,558.0,872.0,221.0,77.0,140.0,140.0,288.0,766.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (7 Yrs),CHI (7 Yrs),CHI (7 Yrs),CHI (7 Yrs),,60.0,60.0,2101.0,228.0,490.0,0.465,0.0,0.0,228.0,490.0,0.465,0.465,123.0,182.0,0.676,237.0,422.0,659.0,167.0,58.0,106.0,106.0,218.0,579.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
