"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Joey Graham,,3.0,2.2,1.3,1.1,0.3,0.0
Sam Mack,91.4,2.8,1.9,1.3,1.1,0.3,0.0
James Singleton,90.5,3.0,2.3,1.1,1.0,0.7,
Tony Massenburg,88.8,2.8,2.2,1.7,1.3,0.4,-0.1
Mark Alarie,88.5,3.1,2.2,1.5,0.9,0.6,
Brady Walker,88.2,2.8,1.9,1.2,1.0,,
Bruce Seals,84.0,2.9,2.4,1.6,0.6,0.3,
Simmie Hill,83.9,3.1,1.6,1.2,1.0,,
Patrick Williams,83.7,3.5,2.5,1.2,0.9,0.4,
Jared Jeffries,83.3,3.1,2.6,1.2,0.6,0.3,0.1
Keita Bates-Diop,82.9,2.7,1.6,1.3,1.2,0.3,0.3
