"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Jarvis Hayes,,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,,
McCoy McLemore,89.2,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,,
Wesley Johnson,86.6,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0.0,0.0,
Steve Kuberski,84.1,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,
Mark Acres,83.9,2.5,2.2,1.9,1.6,0.9,0.3,,,,
David Wood,83.5,2.8,2.3,2.2,1.3,1.0,0.5,0.0,,,
Noah Vonleh,82.9,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1,,
Ryan Bowen,82.6,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1
Marty Conlon,82.1,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1,
Juancho HernangÃ³mez,81.9,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,,
Darrell Arthur,81.3,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0.0,
