"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Tyler Dorsey,,0.6,0.4,0.1
Jared Butler,94.9,0.6,0.4,0.1
Tracy Moore,91.6,0.6,0.5,0.1
Shabazz Napier,91.1,0.6,0.5,0.1
MarJon Beauchamp,90.0,0.7,0.4,0.1
Delaney Rudd,87.5,0.6,0.3,0.1
Jeff Dowtin Jr.,86.4,0.6,0.4,0.0
Jared Rhoden,85.7,0.6,0.3,0.1
Negele Knight,84.7,0.6,0.5,0.1
Markel Brown,83.0,0.6,0.5,0.0
Malik Monk,81.6,0.7,0.3,0.0
