"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Roger Mason,,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,,
Al Skinner,87.4,4.9,3.3,2.1,1.8,1.2,0.0,,,,,,
Al Smith,85.9,4.5,3.3,1.8,0.9,0.6,,,,,,,
Brandon Knight,84.8,4.5,2.8,1.7,1.3,1.1,0.3,0.1,0.0,-0.1,,,
Andre Roberson,84.6,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,,,,,
Slick Watts,84.5,4.7,3.3,2.7,1.2,1.2,0.8,,,,,,
Quentin Grimes,83.6,4.8,3.4,1.4,1.3,,,,,,,,
Gary Payton II,83.4,5.2,3.0,1.8,1.0,0.5,0.3,0.2,0.1,-0.2,,,
Jaren Jackson,83.2,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Lee Winfield,82.8,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,,,,
Keith Askins,82.6,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,,,
