"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Caris LeVert,,4.4,4.0,3.6,2.4,2.3,2.2,1.8,1.7,1.5
Ernie Grunfeld,92.4,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4
Jordan Clarkson,91.0,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2
Randy Foye,89.5,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0
Bill Hanzlik,89.2,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1.0,0.7
Luke Kennard,88.5,4.5,3.9,3.4,2.7,2.6,2.5,2.1,1.9,
Mike Glenn,88.1,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5
Scott Brooks,87.7,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,0.7
Tom Henderson,87.2,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4
Tony Allen,86.9,5.1,4.7,4.2,2.7,2.7,1.9,1.9,1.7,1.6
Henry Bibby,86.9,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0
