"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Tyler Dorsey,,0.6,0.4,0.1,
MarJon Beauchamp,90.0,0.7,0.4,0.1,
Jared Rhoden,85.7,0.6,0.3,0.1,
Markel Brown,83.0,0.6,0.5,0.0,
Chasson Randle,76.8,0.7,0.6,0.0,0.0
Darrin Hancock,76.2,0.5,0.4,0.2,
K.J. McDaniels,74.1,0.6,0.5,0.2,
Chandler Hutchison,71.7,0.7,0.6,0.0,-0.1
Derrick Walton,71.2,0.6,0.4,-0.2,
Dru Smith,71.1,0.7,0.3,0.3,
R.J. Hampton,69.1,0.7,0.4,-0.1,-0.2
