"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jeremy Evans,,2.8,1.6,1.3,0.9,0.9,0.6,0.0,,
Juancho HernangÃ³mez,89.1,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,
Marty Conlon,86.5,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1
Quincy Acy,85.2,2.5,1.7,1.5,1.1,1.0,0.9,-0.1,,
Keita Bates-Diop,84.9,2.7,1.6,1.3,1.2,0.3,0.3,,,
Cristiano FelÃ­cio,83.1,3.4,1.7,1.4,1.2,1.0,0.3,,,
Sam Mack,81.2,2.8,1.9,1.3,1.1,0.3,0.0,-0.1,,
Noah Vonleh,81.1,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1,
Mark Madsen,80.9,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3
Ike Diogu,79.5,2.6,1.5,1.0,0.7,0.7,0.0,,,
Richard Anderson,79.4,2.3,2.1,1.3,1.0,0.5,0.5,,,
