Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,23,UTA,NBA,C,10,9,181,3.7,8.5,0.433,0.0,0.0,3.7,8.5,0.433,0.433,2.0,5.9,0.333,2.3,8.8,11.0,3.4,0.0,1.4,4.0,8.5,9.3,78,117,
1 Yr,1 Yr,1 Yr,1 Yr,,10,9,181,3.7,8.5,0.433,0.0,0.0,3.7,8.5,0.433,0.433,2.0,5.9,0.333,2.3,8.8,11.0,3.4,0.0,1.4,4.0,8.5,9.3,78,117,
