"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Marvin Bagley III,,3.6,2.7,2.0,2.0,1.4,0.6,0.4
Sidney Green,91.7,3.4,2.7,2.5,2.0,1.7,0.6,0.3
Luke Walton,91.7,3.8,3.2,2.0,2.0,1.6,0.5,0.3
Lawrence Funderburke,90.6,3.7,3.1,2.1,1.9,1.6,0.5,0.1
Don Ford,90.3,3.5,2.8,2.5,2.0,1.5,0.6,-0.1
Mark Landsberger,89.4,3.4,2.2,2.2,1.9,1.7,0.4,0.3
Scott Padgett,89.0,3.5,2.8,2.5,1.9,1.8,0.4,0.1
Cedi Osman,88.8,3.3,2.9,1.9,1.6,1.5,0.9,0.5
Matt Bullard,88.3,3.4,2.5,2.4,1.7,1.0,0.6,0.2
Wally Walker,87.8,3.5,2.1,2.0,1.9,1.8,0.9,0.1
Brian Skinner,86.8,4.1,2.7,1.9,1.9,0.9,0.3,0.1
