"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Gorgui Dieng,,5.9,5.7,4.9,2.9,2.9,2.8,2.2,2.1,1.2,0.0
Connie Simmons,89.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.3,0.1
Tony Battie,87.1,6.2,5.8,3.8,3.8,3.3,2.7,2.3,2.3,2.0,0.5
Andrew Lang,86.6,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7
Channing Frye,86.4,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8
Richaun Holmes,86.2,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8
Kent Benson,86.1,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1
Greg Ostertag,85.7,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,0.7
Cody Zeller,85.5,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.7
Benoit Benjamin,85.3,5.4,5.1,4.1,4.0,3.0,2.2,2.2,2.0,1.1,0.9
Herb Williams,85.2,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4
