"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Saben Lee,,1.5,0.9,0.7,0.4
Howard Komives,96.9,1.5,1.0,0.7,0.3
Steve Alford,92.1,1.4,0.9,0.6,0.3
MarShon Brooks,87.9,1.3,0.8,0.7,0.4
Patty Mills,85.9,1.5,0.9,0.7,0.0
John Warren,85.5,1.7,0.8,0.5,0.3
Tony Delk,85.3,1.6,1.3,0.8,0.4
Keith Askins,85.2,1.4,0.7,0.6,0.3
Damyean Dotson,83.6,1.5,0.9,0.6,0.0
Kevin Stacom,82.0,1.8,0.9,0.8,0.6
Reggie Jordan,81.9,1.2,0.8,0.6,0.4
