Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2019-20,22,WAS,NBA,PF,33,2,368,6.1,.502,.663,.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,.017,-4.3,-1.2,-5.5,-0.3,
2020-21,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2021-22,24,ORL,NBA,SF,38,1,469,7.5,.538,.612,.116,3.8,16.3,10.0,7.9,0.4,1.0,13.4,14.5,-0.1,0.3,0.3,.027,-4.2,-1.2,-5.4,-0.4,
2022-23,25,ORL,NBA,PF,37,0,451,10.1,.587,.607,.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,.089,-2.2,-0.7,-2.9,-0.1,
2023-24,26,ORL,NBA,PF,23,0,84,6.0,.484,.615,.077,4.2,19.7,11.9,11.6,0.6,0.0,15.7,16.6,-0.1,0.1,0.0,.006,-4.1,-0.8,-4.9,-0.1,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,131,3,1372,7.9,.542,.623,.149,4.0,13.3,8.6,8.0,0.7,0.9,11.1,13.8,0.4,0.8,1.2,.043,-3.6,-1.0,-4.6,-0.9,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,2,859,7.9,.542,.623,.149,4.0,13.3,8.6,8.0,0.7,0.9,11.1,13.8,0.3,0.5,0.8,.043,-3.6,-1.0,-4.6,-0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,98,1,1004,8.5,.555,.610,.144,4.7,13.6,9.2,8.9,0.6,0.9,12.5,14.5,0.4,0.7,1.1,.053,-3.3,-0.9,-4.2,-0.6,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,33,2,368,6.1,.502,.663,.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,.017,-4.3,-1.2,-5.5,-0.3,
