"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Nick Young,,3.2,2.8,2.5,2.3,1.9,1.7,1.4,1.2,1.2,0.4,0.1,0.0,,,
Earl Watson,89.2,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2,,
Clint Richardson,85.3,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,,,,
Evan Turner,83.5,4.0,2.6,2.5,2.4,2.3,2.1,2.0,1.4,1.2,-0.3,,,,,
Garrett Temple,83.2,2.7,2.4,2.2,2.2,1.6,1.5,1.2,1.2,0.8,0.4,0.3,0.3,0.2,0.2,-0.4
John Battle,82.8,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,,,
Jim King,82.6,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,,,,,
Jerryd Bayless,82.5,4.0,2.7,2.4,2.4,2.4,2.0,1.6,1.1,0.3,0.0,-0.1,,,,
Steve Colter,82.1,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,,,,,
Tyronn Lue,82.0,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2,,,,
Tony Snell,82.0,3.4,3.2,2.6,2.4,2.4,2.0,1.6,0.4,0.4,,,,,,
