"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Davon Reed,,1.6,0.1,0.1,-0.3
Tony Dumas,87.2,1.6,0.0,0.0,-0.3
Isaac Bonga,78.5,1.8,0.1,0.0,-0.1
Mike Evans,76.1,1.6,0.1,-0.1,-0.2
Bobby Wilson,75.4,1.6,0.2,0.0,-0.1
Bernard Robinson,73.3,1.7,0.3,0.1,
Greg Grant,64.2,1.4,0.2,0.0,-0.1
Donald Sloan,64.2,2.0,0.3,0.1,-0.3
John Kuester,64.0,1.9,0.1,0.0,
Gerald Green,63.4,1.6,0.5,0.0,-0.4
Randy Livingston,61.6,1.5,0.3,0.1,0.0
