Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2022-23,20,GSW,NBA,SF,3,0,11,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,4.3,0.0,0.0,0.0,0.0,0.0,24,113,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,4.3,0.0,0.0,0.0,0.0,0.0,24,113,
