"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Gordon Hayward,,10.4,8.9,8.7,5.7,5.4,4.9,4.9,3.6,3.5,2.8,2.0,1.5,1.2,0.0
NenÃª,91.1,10.8,9.6,9.3,6.1,5.3,5.0,4.0,3.2,3.2,3.0,2.7,2.7,0.3,-0.1
Draymond Green,90.5,11.1,8.5,8.2,6.1,4.7,4.6,4.5,4.3,3.7,3.6,3.6,1.1,0.6,
Kevin Willis,90.0,10.2,8.8,8.6,6.0,6.0,4.7,4.7,4.4,4.2,3.8,3.6,2.7,2.4,2.2
Donyell Marshall,88.6,10.4,8.5,6.0,6.0,5.0,4.2,4.2,3.8,3.8,3.0,1.3,1.3,0.3,0.3
Derrick Coleman,88.5,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,0.8,-0.2
Bob Boozer,87.2,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,,,
Mark Aguirre,86.7,9.0,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9,1.8,0.9,
Toni KukoÄ,86.5,10.1,10.0,7.0,6.9,4.7,4.0,3.4,3.2,3.1,2.8,2.0,1.5,1.1,
Jack Marin,86.0,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,,,
Gerald Wallace,85.9,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
