Season,Age,Team,Lg,Pos,G,GS,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2001-02,23,PHI,NBA,C,2,0,5,-8.4,0.0,25.7,12.1,0.0,0.0,0.0,100.0,9.4,0.0,0.0,0.0,-0.34,-16.1,-5.6,-21.6,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,5,-8.4,0.0,25.7,12.1,0.0,0.0,0.0,100.0,9.4,0.0,0.0,0.0,-0.34,-16.1,-5.6,-21.6,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,205,-8.4,0.0,25.7,12.1,0.0,0.0,0.0,100.0,9.4,-1.3,-0.1,-1.5,-0.34,-16.1,-5.6,-21.6,-0.8,
