"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jevon Carter,,3.5,1.8,1.6,1.2,0.3,0.2,0.0
Al Ferrari,84.9,3.3,1.9,1.4,1.4,0.9,0.0,
Shabazz Napier,84.5,3.2,2.0,1.7,0.6,0.5,0.1,
Anthony Johnson,84.2,3.6,1.8,1.1,0.7,0.4,0.3,-0.2
Cameron Payne,84.1,3.6,1.9,1.4,0.8,0.5,0.5,-0.3
Rick Adelman,83.8,3.4,2.2,1.6,1.3,0.7,0.7,0.1
Matthew Dellavedova,83.7,3.8,2.1,1.9,1.2,0.5,0.5,0.2
Quinton Ross,83.5,3.2,1.7,1.6,0.7,0.6,0.0,-0.1
Bucky Bockhorn,83.4,3.1,1.5,1.3,1.1,0.5,0.3,0.1
Moses Moody,82.9,3.5,2.4,1.3,1.3,,,
Danuel House Jr.,82.3,3.6,2.3,1.3,1.0,0.6,0.5,0.0
