"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jalen Green,,5.1,3.1,1.8,0.7
Tim Hardaway Jr.,94.3,4.8,3.1,1.9,0.8
Dave Twardzik,91.3,5.1,3.0,2.4,1.1
Herm Gilliam,90.6,4.9,2.9,1.4,0.4
Al Smith,89.7,4.5,3.3,1.8,0.9
Bojan BogdanoviÄ,89.4,5.4,2.9,2.4,0.9
Ricky Rubio,89.3,5.9,3.0,2.0,0.5
Foots Walker,88.2,5.2,3.0,2.3,1.5
LaMelo Ball,88.0,5.8,2.8,1.8,1.1
Aaron McKie,88.0,5.3,3.5,2.0,1.4
Quentin Richardson,87.5,5.6,3.0,2.4,1.0
