"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jason Collier,,1.2,0.4,0.3,0.0,0.0
Bernard James,86.5,1.2,0.5,0.1,,
Jawann Oldham,85.9,1.0,0.5,0.3,0.0,0.0
Olivier Sarr,84.1,1.0,0.4,0.2,,
Eric Fernsten,80.4,1.2,0.5,0.5,0.2,0.0
Keith Closs,79.1,1.1,0.6,0.2,,
Greg Dreiling,77.8,1.1,0.4,0.2,0.2,0.1
P̩tur Gu̡mundsson,76.0,1.4,0.6,0.3,-0.1,
Chris Johnson,75.7,1.0,0.2,0.2,,
Mark McNamara,75.6,1.2,0.6,0.4,0.0,-0.2
Daniel Santiago,75.2,1.2,0.6,0.0,0.0,
