"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Rashad McCants,,1.7,1.6,0.6,-0.3
Tony Smith,87.0,1.7,1.5,0.5,0.1
Caleb Houstan,85.5,1.8,1.5,0.7,
Richie Regan,82.8,1.6,1.5,0.4,
Anthony Carter,81.4,1.7,1.4,0.2,-0.2
Sidney Lowe,81.4,1.7,1.5,0.5,0.3
Quinn Cook,77.1,1.8,1.6,0.3,0.2
Sergio RodrÃ­guez,76.0,1.7,1.2,0.9,-0.2
Randy Brown,75.9,1.9,1.6,0.4,0.3
Jevon Carter,75.8,1.8,1.6,1.2,0.0
Shaquille Harrison,75.7,1.5,1.4,0.8,0.2
