Season,Team,Lg,Salary
2010-11,Boston Celtics,NBA,"$1,418,160"
2011-12,Boston Celtics,NBA,"$1,524,480"
2012-13,Boston Celtics,NBA,"$1,630,800"
2013-14,Boston Celtics,NBA,"$2,511,432"
2014-15,Boston Celtics,NBA,"$7,191,011"
2015-16,Boston Celtics,NBA,"$7,730,337"
2016-17,Boston Celtics,NBA,"$8,269,663"
2017-18,Los Angeles Clippers,NBA,"$8,808,989"
2018-19,Memphis Grizzlies,NBA,"$12,000,000"
2019-20,Los Angeles Lakers,NBA,"$4,767,000"
2019-20,Memphis Grizzlies,NBA,"$2,000,000"
2020-21,Houston Rockets,NBA,"$5,635,000"
2021-22,Los Angeles Lakers,NBA,"$2,641,691"
Career,(may be incomplete),,"$66,128,563"
