"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Perry Jones,,1.5,0.2,0.0
Michael Bradley,93.0,1.5,0.1,0.0
Ron Riley,92.3,1.6,0.2,0.0
Brian Evans,90.4,1.5,0.1,0.1
Damian Jones,88.5,1.5,0.1,0.0
Mario Bennett,83.1,1.5,0.5,0.0
Josh McRoberts,81.3,1.5,0.4,0.1
Roy Rogers,81.1,1.4,0.4,-0.1
Yuta Watanabe,81.0,1.5,0.1,-0.2
Stephen Howard,80.9,1.3,0.2,0.1
Kris Humphries,77.6,1.5,0.2,-0.3
