"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Aaron Nesmith,,4.1,2.9,2.0,1.1,0.4
Eddie Robinson,92.8,4.0,3.0,2.2,0.8,0.2
Jordan Farmar,91.4,3.9,2.8,1.9,0.9,0.8
Steve Blake,90.8,3.8,2.8,2.1,0.7,0.3
Marquis Daniels,89.8,4.2,3.2,2.5,0.9,0.6
Jerryd Bayless,89.2,4.0,2.7,2.0,1.6,0.3
Frank Johnson,89.2,4.3,3.0,2.1,1.9,0.5
Al Smith,89.2,4.5,3.3,1.8,0.9,0.6
Henry Bibby,89.1,4.1,2.9,2.3,1.5,1.0
Eddie Jordan,88.6,4.1,2.4,1.9,0.7,0.6
MickaÃ«l PiÃ©trus,88.2,3.6,2.8,2.1,1.5,0.6
