Season,Team,Lg,Salary
2018-19,Phoenix Suns,NBA,"$3,552,960"
2019-20,Phoenix Suns,NBA,"$4,161,000"
2020-21,Phoenix Suns,NBA,"$4,359,000"
2021-22,Phoenix Suns,NBA,"$5,557,725"
2022-23,Brooklyn Nets,NBA,"$20,100,000"
2023-24,Brooklyn Nets,NBA,"$21,700,000"
2024-25,New York Knicks,NBA,"$23,300,000"
Career,(may be incomplete),,"$82,730,685"
