Highlight,Unnamed: 1,In Stathead
"Career high, Points",45.0,View full stats from top 20 games
"Career high, Rebounds",13.0,View full stats from top 20 games
"Career high, Assists",9.0,View full stats from top 20 games
"Career high, Steals",7.0,View full stats from top 20 games
"Career high, Blocks",4.0,View full stats from top 20 games
"Career high, Game Score",42.1,View full stats from top 20 games
