"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2001-02,19,CHI,NBA,C,71,31,1389,.497,3.9,1.000,.664,.155,.095,.086,.000,.497,.574,.298,.345,.423,,.735,.247,70,,,0,0,
2002-03,20,CHI,NBA,C,75,68,1827,.531,4.3,1.000,.583,.215,.151,.052,.000,.531,.649,.423,.370,.120,,.685,.200,91,,,0,0,
2003-04,21,CHI,NBA,PF,35,8,782,.424,5.9,.994,.500,.253,.101,.139,.006,.427,.519,.300,.250,.455,.000,.567,.120,16,.000,,1,0,
2004-05,22,CHI,NBA,C,80,10,2189,.494,4.3,.995,.635,.184,.074,.103,.005,.496,.605,.286,.258,.372,.000,.507,.136,53,.000,,0,0,"DPOY-18,6MOY-11"
2005-06,23,CHI,NBA,C,79,50,2121,.565,2.4,.996,.781,.113,.078,.025,.004,.567,.629,.406,.364,.000,.000,.506,.240,64,.000,,0,0,
2006-07,24,NOK,NBA,C,73,73,2525,.624,2.4,.998,.690,.250,.047,.011,.002,.625,.712,.470,.273,.200,.000,.469,.295,125,.000,,0,0,DPOY-9
2007-08,25,NOH,NBA,C,79,79,2783,.623,2.1,.998,.744,.225,.026,.003,.002,.624,.720,.331,.500,.000,.000,.610,.331,193,.000,,1,0,DPOY-11
2008-09,26,NOH,NBA,C,45,45,1445,.565,1.7,1.000,.802,.173,.021,.004,.000,.565,.634,.327,.000,.000,,.719,.336,89,,,0,0,
2009-10,27,CHA,NBA,C,51,27,1163,.574,1.9,1.000,.816,.116,.032,.037,.000,.574,.645,.318,.000,.286,,.606,.347,56,,,0,0,
2010-11,28,DAL,NBA,C,74,74,2059,.654,3.8,1.000,.727,.155,.025,.093,.000,.654,.730,.429,.700,.421,,.744,.337,129,,,0,0,"DPOY-3,DEF2"
