Season,Team,Lg,Salary
2003-04,Phoenix Suns,NBA,"$809,280"
2004-05,Phoenix Suns,NBA,"$870,000"
2005-06,Phoenix Suns,NBA,"$930,600"
2006-07,Phoenix Suns,NBA,"$1,679,733"
2007-08,Phoenix Suns,NBA,"$5,600,000"
2008-09,Phoenix Suns,NBA,"$6,100,000"
2009-10,Phoenix Suns,NBA,"$6,600,000"
2010-11,Toronto Raptors,NBA,"$7,100,000"
2011-12,Toronto Raptors,NBA,"$7,600,000"
2012-13,Washington Wizards,NBA,"$1,229,255"
2014-15,Golden State Warriors,NBA,"$1,448,490"
2015-16,Golden State Warriors,NBA,"$2,500,000"
2016-17,Phoenix Suns,NBA,"$4,000,000"
2017-18,Phoenix Suns,NBA,"$500,000"
Career,(may be incomplete),,"$46,967,358"
