"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
R.J. Hunter,,0.3,0.1,0.0,0.0
Axel Toupane,85.2,0.3,0.1,0.1,
David Duke Jr.,79.4,0.3,0.1,0.0,-0.1
Malcolm Lee,73.6,0.4,0.1,0.0,
Gerald Madkins,69.0,0.3,0.1,0.0,
Bob Duffy,67.2,0.3,0.1,0.1,
Russ Lee,63.0,0.3,0.2,0.0,
Drew Barry,61.6,0.3,0.2,0.1,
Derrick Dial,60.7,0.4,0.1,0.1,0.1
Briante Weber,60.2,0.4,0.3,0.0,
DaQuan Jeffries,55.5,0.3,0.3,0.0,-0.1
