"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Frank Jackson,,1.2,0.7,0.4,0.2,0.0,
Dalen Terry,83.7,1.1,0.8,0.5,,,
Salim Stoudamire,82.9,1.2,0.8,0.3,,,
Jared Butler,82.8,1.4,0.6,0.4,0.1,,
Shawn Respert,78.7,0.8,0.7,0.5,0.1,,
Brooks Thompson,78.7,1.1,0.6,0.2,0.1,,
Malachi Flynn,76.2,1.0,0.8,0.5,0.5,0.0,
Jeff Dowtin Jr.,75.6,1.3,0.6,0.4,0.0,,
Steve Alford,75.5,1.4,0.9,0.6,0.3,,
Mike D'Antoni,75.5,1.0,0.8,0.3,0.0,,
Jimmer Fredette,73.9,1.1,0.8,0.3,0.2,0.0,-0.2
