"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
C.J. Wilcox,,0.3,0.0,-0.2
Jared Harper,3.8,0.4,0.0,-0.1
Sean Higgins,-2.3,0.4,0.0,-0.1
Xavier Moon,-9.7,0.3,0.0,-0.1
Rich Rinaldi,-11.3,0.4,0.0,-0.2
Sedric Toney,-13.6,0.3,0.0,-0.1
Cliff Anderson,-14.4,0.4,0.0,-0.2
Nate Hinton,-15.7,0.3,0.0,-0.1
Andre Barrett,-20.1,0.4,0.0,-0.1
Josh Christopher,-21.5,0.3,0.0,-0.1
Darrun Hilliard,-24.8,0.5,0.0,-0.2
