"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2013-14,21,CHA,NBA,C,4.0,0.0,53.0,0.333,2.2,1.0,0.889,0.111,0.0,0.0,0.0,0.333,0.375,0.0,,,0.333,0.111,1.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,CHO,NBA,C,7.0,2.0,137.0,0.553,4.3,1.0,0.658,0.211,0.026,0.105,0.0,0.553,0.52,0.5,1.0,0.75,0.81,0.105,4.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,30,MIA,NBA,C,21.0,0.0,174.0,0.571,3.8,1.0,0.486,0.457,0.057,0.0,0.0,0.571,0.647,0.5,0.5,,0.9,0.171,6.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,32.0,2.0,364.0,0.537,3.5,1.0,0.61,0.305,0.037,0.049,0.0,0.537,0.54,0.48,0.667,0.75,0.818,0.134,11.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,933.0,0.537,3.5,1.0,0.61,0.305,0.037,0.049,0.0,0.537,0.54,0.48,0.667,0.75,0.818,0.134,28.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),,11.0,2.0,190.0,0.511,3.3,1.0,0.702,0.191,0.021,0.085,0.0,0.511,0.485,0.444,1.0,0.75,0.75,0.106,5.0,0.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,21.0,0.0,174.0,0.571,3.8,1.0,0.486,0.457,0.057,0.0,0.0,0.571,0.647,0.5,0.5,,0.9,0.171,6.0,0.0,0.0,
