"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Cody Zeller,,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7
Greg Ostertag,91.7,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7
Tony Battie,91.0,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.5
Richaun Holmes,88.8,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,
Channing Frye,88.1,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8
Kent Benson,88.0,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0
JaVale McGee,87.8,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2.0,1.1,0.4,-0.1
Alton Lister,86.1,5.5,5.3,4.1,4.1,4.0,3.8,3.7,1.9,1.7,0.4,0.1
Ervin Johnson,85.5,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.7
Wayne Cooper,85.4,5.1,5.0,4.1,3.5,2.9,2.9,2.8,2.0,1.5,1.2,1.2
Leroy Ellis,85.4,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
