"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Johan Petro,,1.7,1.0,0.8,0.7,0.4,0.4,0.4,0.2
Rickey Brown,77.4,1.8,0.9,0.9,0.7,0.4,,,
Walt Davis,74.7,1.6,0.9,0.9,0.8,0.6,,,
John Lambert,71.9,1.8,1.5,1.0,0.9,0.7,0.6,0.4,
Eric Leckner,69.5,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1
Aaron Gray,66.2,1.4,1.3,1.1,0.9,0.8,0.5,0.1,
Calvin Booth,64.9,2.2,2.1,1.0,0.8,0.6,0.5,0.4,0.1
Charles Bassey,64.5,1.3,1.1,0.8,0.7,,,,
Jawann Oldham,60.7,1.3,1.2,1.0,0.5,0.3,0.0,0.0,0.0
Melvin Ely,59.3,2.0,0.8,0.6,0.4,0.3,0.1,-0.1,-0.3
Greg Kite,59.1,2.0,0.8,0.7,0.3,0.1,0.1,0.1,0.0
