Season,Team,Lg,Salary
2017-18,Phoenix Suns,NBA,"$815,615"
2018-19,Phoenix Suns,NBA,"$1,378,242"
2018-19,Indiana Pacers,NBA,< $Minimum
2021-22,Denver Nuggets,NBA,"$286,164 (TW)"
2022-23,Los Angeles Lakers,NBA,"$1,902,133"
Career,(may be incomplete),,"$4,382,154"
