Season,Team,Lg,Salary
2014-15,Memphis Grizzlies,NBA,"$1,344,120"
2015-16,Memphis Grizzlies,NBA,"$1,404,600"
2016-17,Memphis Grizzlies,NBA,"$1,465,080"
Career,(may be incomplete),,"$4,213,800"
