"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Marreese Speights,,4.2,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6
Joe Meriweather,91.9,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8
Clemon Johnson,90.2,4.3,4.0,3.7,3.5,2.2,2.0,2.0,1.7,1.2,0.9
Jon Koncak,88.2,3.8,3.7,3.7,3.7,3.1,2.5,2.3,1.8,1.4,1.1
Wayne Cooper,86.7,5.1,4.1,3.5,2.9,2.9,2.8,2.0,1.5,1.2,1.2
Mel Counts,86.3,5.0,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1.0,0.3
Bismack Biyombo,85.2,5.9,4.0,3.2,2.9,2.9,2.4,2.3,2.0,1.4,0.6
Andrew Lang,84.9,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7
Otto Moore,83.5,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,
George Johnson,81.7,5.0,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2.0,0.3
Coby Dietrick,81.6,4.5,4.4,4.1,3.0,2.9,2.5,2.3,0.3,0.1,0.0
