"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2013-14,21,CHA,NBA,C,3.0,1.0,48.0,0.6,2.4,1.0,0.6,0.4,0.0,0.0,0.0,0.6,0.667,0.5,,,1.0,0.4,2.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,C,20.0,10.0,506.0,0.58,3.6,1.0,0.681,0.159,0.072,0.087,0.0,0.58,0.702,0.364,0.0,0.5,0.75,0.377,21.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,C,9.0,0.0,86.0,0.647,3.1,1.0,0.706,0.176,0.118,0.0,0.0,0.647,0.75,0.667,0.0,,0.909,0.294,5.0,0.0,0.0,
2022-23,30,PHO,NBA,C,8.0,0.0,78.0,0.563,4.5,1.0,0.375,0.5,0.125,0.0,0.0,0.563,0.667,0.5,0.5,,0.556,0.188,2.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,11.0,718.0,0.589,3.4,1.0,0.636,0.224,0.084,0.056,0.0,0.589,0.706,0.458,0.111,0.5,0.762,0.336,30.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,23.0,1472.0,0.589,3.4,1.0,0.636,0.224,0.084,0.056,0.0,0.589,0.706,0.458,0.111,0.5,0.762,0.336,62.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,17.0,0.0,164.0,0.606,3.8,1.0,0.545,0.333,0.121,0.0,0.0,0.606,0.722,0.545,0.25,,0.75,0.242,7.0,0.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,20.0,10.0,506.0,0.58,3.6,1.0,0.681,0.159,0.072,0.087,0.0,0.58,0.702,0.364,0.0,0.5,0.75,0.377,21.0,0.0,0.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,3.0,1.0,48.0,0.6,2.4,1.0,0.6,0.4,0.0,0.0,0.0,0.6,0.667,0.5,,,1.0,0.4,2.0,0.0,0.0,
