"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Bismack Biyombo,,5.9,4.0,3.2,2.9,2.9,2.4,2.3,2.0,1.9,1.8,1.4,1.1,0.8,0.6,,,,
Herb Williams,86.4,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.6,1.4,1.1,0.8,0.6,0.4,0.2,0.2,0.1
Wayne Cooper,83.2,5.1,5.0,4.1,3.5,2.9,2.9,2.8,2.7,2.0,1.5,1.4,1.2,1.2,0.7,,,,
George Johnson,83.0,5.0,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2.0,1.3,1.0,0.6,0.3,,,,,
Andrew Lang,81.9,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,,,,
Joe Meriweather,81.4,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,,,,,,,,
Benoit Benjamin,80.8,5.4,5.1,4.1,4.0,3.0,2.3,2.2,2.2,2.0,1.1,0.9,0.4,0.0,0.0,-0.1,,,
Nazr Mohammed,79.7,4.6,4.5,3.7,3.6,3.4,3.3,2.7,2.5,2.3,1.3,1.2,0.8,0.4,0.1,0.0,0.0,0.0,-0.1
Tony Battie,79.6,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.6,0.5,0.5,0.0,,,,
Mel Counts,79.6,5.0,4.3,4.2,2.9,2.7,2.0,1.9,1.5,1.5,1.0,0.4,0.3,,,,,,
Jon Koncak,79.2,3.8,3.7,3.7,3.7,3.1,2.5,2.3,2.0,1.8,1.4,1.1,,,,,,,
