Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2013-14,21,CHA,NBA,C,3.0,1.0,48.0,3.3,5.5,0.6,0.0,0.0,3.3,5.5,0.6,0.6,2.2,6.6,0.333,5.5,6.6,12.1,1.1,0.0,2.2,0.0,4.4,8.8,130.0,113.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,C,20.0,10.0,506.0,4.2,7.3,0.58,0.0,0.0,4.2,7.3,0.58,0.58,4.6,7.6,0.597,5.6,14.2,19.8,0.8,0.8,2.9,2.2,5.1,13.0,119.0,103.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,C,9.0,0.0,86.0,6.6,10.2,0.647,0.0,0.0,6.6,10.2,0.647,0.647,1.8,3.6,0.5,4.8,6.6,11.4,3.0,0.6,1.2,3.6,7.8,15.0,112.0,118.0,
2022-23,30,PHO,NBA,C,8.0,0.0,78.0,5.7,10.1,0.563,0.0,0.0,5.7,10.1,0.563,0.563,5.7,11.4,0.5,6.3,10.7,17.0,3.8,0.0,6.3,3.8,11.4,17.0,112.0,114.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,11.0,718.0,4.6,7.9,0.589,0.0,0.0,4.6,7.9,0.589,0.589,4.2,7.5,0.559,5.6,12.4,18.0,1.5,0.7,3.0,2.4,6.1,13.5,117.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,17.0,0.0,164.0,6.1,10.1,0.606,0.0,0.0,6.1,10.1,0.606,0.606,3.7,7.4,0.5,5.5,8.6,14.1,3.4,0.3,3.7,3.7,9.5,16.0,112.0,116.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,20.0,10.0,506.0,4.2,7.3,0.58,0.0,0.0,4.2,7.3,0.58,0.58,4.6,7.6,0.597,5.6,14.2,19.8,0.8,0.8,2.9,2.2,5.1,13.0,119.0,103.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,3.0,1.0,48.0,3.3,5.5,0.6,0.0,0.0,3.3,5.5,0.6,0.6,2.2,6.6,0.333,5.5,6.6,12.1,1.1,0.0,2.2,0.0,4.4,8.8,130.0,113.0,
