Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2013-14,21,CHA,NBA,C,3.0,1.0,48.0,2.3,3.7,0.6,0.0,0.0,2.3,3.7,0.6,0.6,1.5,4.5,0.333,3.7,4.5,8.2,0.7,0.0,1.5,0.0,3.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,C,20.0,10.0,506.0,2.8,4.9,0.58,0.0,0.0,2.8,4.9,0.58,0.58,3.1,5.1,0.597,3.8,9.5,13.3,0.6,0.6,1.9,1.5,3.4,8.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,C,9.0,0.0,86.0,4.6,7.1,0.647,0.0,0.0,4.6,7.1,0.647,0.647,1.3,2.5,0.5,3.3,4.6,8.0,2.1,0.4,0.8,2.5,5.4,10.5,
2022-23,30,PHO,NBA,C,8.0,0.0,78.0,4.2,7.4,0.563,0.0,0.0,4.2,7.4,0.563,0.563,4.2,8.3,0.5,4.6,7.8,12.5,2.8,0.0,4.6,2.8,8.3,12.5,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,11.0,718.0,3.2,5.4,0.589,0.0,0.0,3.2,5.4,0.589,0.589,2.9,5.1,0.559,3.8,8.4,12.2,1.0,0.5,2.1,1.7,4.2,9.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,17.0,0.0,164.0,4.4,7.2,0.606,0.0,0.0,4.4,7.2,0.606,0.606,2.6,5.3,0.5,4.0,6.1,10.1,2.4,0.2,2.6,2.6,6.8,11.4,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,20.0,10.0,506.0,2.8,4.9,0.58,0.0,0.0,2.8,4.9,0.58,0.58,3.1,5.1,0.597,3.8,9.5,13.3,0.6,0.6,1.9,1.5,3.4,8.8,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,3.0,1.0,48.0,2.3,3.7,0.6,0.0,0.0,2.3,3.7,0.6,0.6,1.5,4.5,0.333,3.7,4.5,8.2,0.7,0.0,1.5,0.0,3.0,6.0,
