"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kyle Weaver,,1.2,0.3,0.0,
Jaden Ivey,87.9,1.2,0.5,0.0,
Willie Smith,83.4,1.0,0.3,0.0,0.0
Tate George,80.8,1.1,0.4,0.0,-0.1
Eddie Hughes,79.7,1.0,0.4,0.0,
Tre Mann,76.3,1.2,0.5,0.1,0.1
Nate Hawthorne,75.9,1.1,0.5,0.1,
Quenton Jackson,75.2,1.0,0.2,0.0,
Lowes Moore,73.7,1.1,0.2,0.2,
Andre McCarter,72.5,0.8,0.3,0.0,
Matt Thomas,71.7,1.2,0.6,0.2,
