"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jarnell Stokes,,0.5,0.1,0.1
KZ Okpala,88.8,0.5,0.1,0.1
Larry Spriggs,87.1,0.5,0.1,0.0
Jarrell Brantley,79.3,0.5,0.1,0.0
Josh Huestis,77.8,0.5,0.2,0.0
Pape Sow,77.2,0.6,0.2,0.1
Anthony Frederick,74.2,0.5,0.2,0.0
Ken Durrett,74.0,0.5,0.0,0.0
Ron Grandison,71.3,0.6,0.0,0.0
Adrian Caldwell,68.7,0.4,0.1,0.0
Gene James,68.1,0.5,0.3,0.1
