Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,21,MEM,NBA,PF,19.0,2.0,126.0,21.0,37.0,0.568,0.0,0.0,21.0,37.0,0.568,0.568,15.0,28.0,0.536,16.0,18.0,34.0,4.0,5.0,5.0,7.0,25.0,57.0,0.0,
2015-16,22,2TM,NBA,C,7.0,0.0,18.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,
2015-16,22,MEM,NBA,C,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015-16,22,MIA,NBA,C,5.0,0.0,14.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,
2016-17,23,DEN,NBA,C,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,28.0,2.0,151.0,25.0,43.0,0.581,0.0,0.0,25.0,43.0,0.581,0.581,17.0,32.0,0.531,18.0,22.0,40.0,7.0,7.0,5.0,7.0,29.0,67.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,442.0,73.0,126.0,0.581,0.0,0.0,73.0,126.0,0.581,0.581,50.0,94.0,0.531,53.0,64.0,117.0,21.0,21.0,15.0,21.0,85.0,196.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,21.0,2.0,130.0,21.0,37.0,0.568,0.0,0.0,21.0,37.0,0.568,0.568,15.0,28.0,0.536,17.0,19.0,36.0,4.0,5.0,5.0,7.0,25.0,57.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,5.0,0.0,14.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,
