"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2016-17,22,POR,NBA,SF,2,0,16,0.5,12.6,0.75,0.5,0.0,0.0,0.25,0.25,0.333,0.5,,0.0,1.0,1.0,1.0,0.0,0,0.0,0,0,
2017-18,23,POR,NBA,SF,1,0,8,1.0,4.3,1.0,0.667,0.0,0.333,0.0,0.0,1.0,1.0,1.0,,,0.333,,0.0,0,,0,0,
2018-19,24,POR,NBA,SF,6,0,20,0.143,18.5,0.286,0.286,0.0,0.0,0.0,0.714,0.5,0.5,,,0.0,1.0,,0.0,0,0.0,0,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,9,0,44,0.429,11.8,0.571,0.429,0.0,0.071,0.071,0.429,0.625,0.667,1.0,0.0,0.167,0.6,1.0,0.0,0,0.0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,401,0.429,11.8,0.571,0.429,0.0,0.071,0.071,0.429,0.625,0.667,1.0,0.0,0.167,0.6,1.0,0.0,0,0.0,0,0,
