Highlight,Unnamed: 1,In Stathead
"Career high, Points",14.0,View full stats from top 20 games
"Career high, Rebounds",8.0,View full stats from top 20 games
"Career high, Assists",6.0,View full stats from top 20 games
"Career high, Steals",5.0,View full stats from top 20 games
"Career high, Blocks",1.0,View full stats from top 20 games
"Career high, Game Score",14.4,View full stats from top 20 games
