"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Josh Okogie,,2.8,2.2,2.1,1.3,1.3,1.2,0.7
Anthony Bowie,87.8,2.9,2.5,2.0,1.6,1.3,0.7,0.5
Ledell Eackles,87.4,2.4,2.1,2.0,1.2,1.0,1.0,1.0
Nick Young,86.3,2.8,2.5,2.3,1.9,1.4,1.2,0.4
Raul Neto,85.7,2.8,1.8,1.5,1.2,1.1,0.9,0.7
Aaron Holiday,85.2,2.5,2.1,2.0,1.5,0.9,0.9,0.2
Trey Burke,85.1,2.4,2.4,2.1,1.9,1.3,0.9,0.5
Alec Burks,84.8,3.2,1.9,1.7,1.5,1.5,1.0,0.8
Alonzo Gee,83.9,2.4,1.9,1.9,1.2,1.0,0.9,0.4
Shake Milton,83.3,2.9,2.8,2.1,1.7,1.3,0.6,0.3
Lonzo Ball,81.1,3.2,2.4,2.2,2.0,1.6,1.2,
