"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Sean May,,2.2,0.4,0.3,-0.3,,
Gerard King,82.3,2.3,0.5,0.2,,,
Jay Huff,75.9,2.5,0.5,0.2,0.0,,
Larry Spriggs,74.5,2.6,0.5,0.3,0.1,0.0,
Alan Williams,73.7,2.1,0.2,0.2,0.0,,
J.J. Anderson,73.5,2.3,0.2,0.1,,,
Linton Johnson,73.2,1.9,0.4,0.4,0.0,0.0,0.0
Ryan Kelly,71.5,2.2,0.7,0.1,0.1,,
Earl Clark,68.2,2.3,0.3,0.3,0.3,-0.1,-0.3
Bernard Thompson,68.1,2.1,0.9,0.2,0.1,0.0,
Joe Roberts,67.8,1.9,0.2,0.2,0.0,,
