"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Aaron Gordon,,7.1,6.8,5.4,5.2,5.1,4.3,3.7,3.7,2.9,1.9,1.0,,,,
Kenyon Martin,93.5,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0.0
Junior Bridgeman,93.0,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,,
Cliff Levingston,91.2,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,,,
Caron Butler,90.9,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3,
Xavier McDaniel,90.7,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0.0,,,
Wayman Tisdale,90.5,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2.0,1.8,1.7,-0.6,,,
Thurl Bailey,89.6,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,,
Jeff Foster,89.6,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,,
Bruce Bowen,89.0,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0,,
Ed Davis,88.9,6.7,6.3,5.7,5.4,5.0,4.0,3.9,2.6,1.7,0.8,0.6,0.5,,,
