"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2018-19,20,HOU,NBA,PF,2.0,0.0,2.0,1.0,2.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.5,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,NYK,NBA,C,11.0,0.0,220.0,0.478,5.5,1.0,0.478,0.261,0.217,0.043,0.0,0.478,0.545,0.333,0.4,1.0,,0.727,,0.174,4.0,,0.0,0.0,
2023-24,25,NYK,NBA,C,13.0,13.0,388.0,0.592,7.5,0.974,0.395,0.303,0.224,0.053,0.026,0.595,0.6,0.609,0.529,0.75,0.5,0.773,1.0,0.211,12.0,0.0,2.0,1.0,
2024-25,26,OKC,NBA,C,23.0,20.0,516.0,0.619,5.6,1.0,0.418,0.306,0.276,0.0,0.0,0.619,0.768,0.512,0.514,,,0.723,,0.239,28.0,,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,49.0,33.0,1126.0,0.6,5.3,0.991,0.417,0.302,0.251,0.021,0.009,0.601,0.694,0.535,0.508,0.8,0.5,0.736,1.0,0.221,44.0,0.0,2.0,1.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,55.0,1884.0,0.6,5.3,0.991,0.417,0.302,0.251,0.021,0.009,0.601,0.694,0.535,0.508,0.8,0.5,0.736,1.0,0.221,74.0,0.0,3.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,24.0,13.0,608.0,0.566,6.5,0.98,0.414,0.293,0.222,0.051,0.02,0.567,0.585,0.552,0.5,0.8,0.5,0.764,1.0,0.202,16.0,0.0,2.0,1.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,23.0,20.0,516.0,0.619,5.6,1.0,0.418,0.306,0.276,0.0,0.0,0.619,0.768,0.512,0.514,,,0.723,,0.239,28.0,,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,2.0,0.0,2.0,1.0,2.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.5,,0.0,0.0,,0.0,0.0,
