Season,Team,Lg,Salary
2018-19,Houston Rockets,NBA,"$838,464"
2019-20,Houston Rockets,NBA,"$1,416,852"
2020-21,Cleveland Cavaliers,NBA,"$1,620,564"
2021-22,Los Angeles Clippers,NBA,"$1,729,217"
2022-23,New York Knicks,NBA,"$7,804,879"
2023-24,New York Knicks,NBA,"$9,245,121"
2024-25,Oklahoma City Thunder,NBA,"$30,000,000"
Career,(may be incomplete),,"$52,655,097"
