"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Eddie Griffin,,3.9,3.2,2.4,1.5,-0.2
Reggie Johnson,96.4,3.9,3.0,2.4,1.6,
Richard Washington,91.9,3.9,3.2,2.1,2.0,0.0
Derrek Dickey,91.5,3.8,3.1,2.3,1.7,0.3
Chuck Cooper,91.1,3.3,3.1,2.4,1.7,0.0
Bill Garnett,91.1,3.9,3.5,2.0,1.5,
Ron Anderson,90.6,4.4,3.1,2.5,1.5,0.3
Dwight Davis,89.6,3.7,3.3,2.3,1.5,0.6
Luke Walton,89.6,3.8,3.2,2.0,1.6,0.5
Collis Jones,89.3,4.2,3.2,2.1,1.2,
Scott Williams,89.3,3.9,3.1,2.3,1.7,0.9
