"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Beno Udrih,,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.3,1.2,1.0,0.8,0.4,
John Salmons,87.0,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,
Gerald Henderson,86.4,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
Jon Barry,84.5,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Brevin Knight,83.4,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,,
Leandro Barbosa,83.3,8.2,5.5,5.0,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.6,0.4
Raja Bell,83.1,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,,
Jim Cleamons,82.5,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,,,,,
Travis Best,82.1,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,,,,
Nate Robinson,82.0,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0.0,,,
Larry Hughes,81.3,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,
