Season,Team,Lg,Salary
2004-05,San Antonio Spurs,NBA,"$841,680"
2005-06,San Antonio Spurs,NBA,"$904,800"
2006-07,San Antonio Spurs,NBA,"$967,920"
2007-08,Minnesota Timberwolves,NBA,"$1,747,096"
2007-08,Sacramento Kings,NBA,"$788,349"
2008-09,Sacramento Kings,NBA,"$5,585,000"
2009-10,Sacramento Kings,NBA,"$6,031,800"
2010-11,Sacramento Kings,NBA,"$6,478,600"
2011-12,Milwaukee Bucks,NBA,"$6,925,400"
2012-13,Orlando Magic,NBA,"$7,372,000"
2013-14,New York Knicks,NBA,"$1,272,279"
2014-15,Memphis Grizzlies,NBA,"$2,077,000"
2015-16,Miami Heat,NBA,"$2,170,465"
2016-17,Detroit Pistons,NBA,"$1,551,659"
2017-18,Detroit Pistons,NBA,"$25,000"
Career,(may be incomplete),,"$44,739,048"
