"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Derrick White,,8.5,8.5,7.4,5.1,4.2,3.6,1.9,0.5,,,,
Lucius Allen,88.5,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,,
Phil Chenier,87.6,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0.0,0.0,-0.1,,
John Wall,87.4,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,0.3,-0.2,
Glen Combs,86.1,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,,,
Jon McGlocklin,85.1,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,
Michael Ray Richardson,84.6,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,,
Gene Shue,84.4,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,,
B.J. Armstrong,84.0,8.1,7.5,7.5,7.0,4.6,4.1,2.2,1.7,1.3,0.7,0.4,
Ray Williams,84.0,8.2,7.9,7.2,6.2,3.9,1.0,1.0,0.9,0.4,0.4,,
Paul Seymour,83.8,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
