"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Quentin Grimes,,4.8,3.4,1.4,1.3
Keldon Johnson,94.5,4.9,3.3,1.3,1.1
Isaiah Rider,90.5,5.0,3.4,1.9,1.7
Jack George,90.3,4.6,3.8,1.8,1.2
Al Smith,90.1,4.5,3.3,1.8,0.9
Rick Mount,89.6,4.6,3.5,1.1,0.7
Aaron Brooks,89.4,5.5,3.6,1.4,1.1
Tim Hardaway Jr.,89.1,4.8,3.1,1.9,0.8
Aaron McKie,88.6,5.3,3.5,2.0,1.4
Brandon Knight,88.3,4.5,2.8,1.3,1.1
Al Skinner,87.9,4.9,3.3,2.1,1.8
