Season,Team,Lg,Salary
2002-03,Philadelphia 76ers,NBA,"$670,800"
2003-04,Philadelphia 76ers,NBA,"$865,320"
2004-05,Philadelphia 76ers,NBA,"$925,680"
2005-06,Philadelphia 76ers,NBA,"$1,669,001"
2006-07,Sacramento Kings,NBA,"$4,400,000"
2007-08,Sacramento Kings,NBA,"$4,752,000"
2008-09,Chicago Bulls,NBA,"$5,104,000"
2009-10,Milwaukee Bucks,NBA,"$5,456,000"
2010-11,Milwaukee Bucks,NBA,"$8,000,000"
2011-12,Sacramento Kings,NBA,"$8,500,000"
2012-13,Sacramento Kings,NBA,"$8,083,000"
2013-14,Sacramento Kings,NBA,"$7,583,000"
2014-15,Phoenix Suns,NBA,"$2,000,000"
2014-15,Atlanta Hawks,NBA,"$1,000,000"
Career,(may be incomplete),,"$59,008,801"
